drug_row,drug_col,cell_line_name,study_name,tissue_name,synergy_loewe
5-Fluorouracil,Veliparib,KPL1,ONEIL,breast,-1.77575429113789
5-Fluorouracil,MK-1775,KPL1,ONEIL,breast,-1.7501789062286301
5-Fluorouracil,915019-65-7,KPL1,ONEIL,breast,3.28739045250238
5-Fluorouracil,Bortezomib,KPL1,ONEIL,breast,-2.7953023896839584
5-Fluorouracil,Dasatinib,KPL1,ONEIL,breast,0.3373848816732304
5-Fluorouracil,Dinaciclib,KPL1,ONEIL,breast,-2.6296688886468345
5-Fluorouracil,Erlotinib,KPL1,ONEIL,breast,0.13210759943370054
5-Fluorouracil,geldanamycin,KPL1,ONEIL,breast,-0.6761086897513198
5-Fluorouracil,L-778123 free base,KPL1,ONEIL,breast,1.6058097354738965
5-Fluorouracil,Lapatinib,KPL1,ONEIL,breast,-3.01868384140174
5-Fluorouracil,MK-2206,KPL1,ONEIL,breast,6.236161642480018
5-Fluorouracil,Niraparib,KPL1,ONEIL,breast,-2.3770717401319352
5-Fluorouracil,MK-5108,KPL1,ONEIL,breast,0.606447463895069
5-Fluorouracil,Deforolimus,KPL1,ONEIL,breast,2.5299149431734373
5-Fluorouracil,891494-63-6,KPL1,ONEIL,breast,-0.36991096781457045
391210-10-9,5-Fluorouracil,KPL1,ONEIL,breast,-2.6891192091721927
5-Fluorouracil,Sorafenib,KPL1,ONEIL,breast,-4.62989440486893
5-Fluorouracil,Sunitinib,KPL1,ONEIL,breast,3.97935761330424
5-Fluorouracil,temozolomide,KPL1,ONEIL,breast,-47.2397784346391
5-Fluorouracil,Vorinostat,KPL1,ONEIL,breast,-2.4512212663230524
915019-65-7,Veliparib,KPL1,ONEIL,breast,-3.50827032923693
Dinaciclib,Veliparib,KPL1,ONEIL,breast,5.432759383098937
Veliparib,geldanamycin,KPL1,ONEIL,breast,-1.791287604803498
Deforolimus,Veliparib,KPL1,ONEIL,breast,2.1510853100168124
891494-63-6,Veliparib,KPL1,ONEIL,breast,-2.6183056080118536
Eloxatin (TN),Veliparib,KPL1,ONEIL,breast,2.819394895700469
7-Ethyl-10-hydroxycamptothecin,Veliparib,KPL1,ONEIL,breast,0.4068627579558831
Sorafenib,Veliparib,KPL1,ONEIL,breast,0.4955193372400091
Veliparib,topotecan,KPL1,ONEIL,breast,-0.2801756461091105
MK-1775,Veliparib,KPL1,ONEIL,breast,-4.65553185618559
915019-65-7,MK-1775,KPL1,ONEIL,breast,5.66078320158641
Bortezomib,MK-1775,KPL1,ONEIL,breast,-3.2859607773715567
Dasatinib,MK-1775,KPL1,ONEIL,breast,11.831616995102298
Dinaciclib,MK-1775,KPL1,ONEIL,breast,-2.5815444554729003
Erlotinib,MK-1775,KPL1,ONEIL,breast,5.340774240355076
MK-1775,geldanamycin,KPL1,ONEIL,breast,1.15057959526464
Lapatinib,MK-1775,KPL1,ONEIL,breast,6.05239207973357
MK-1775,MK-2206,KPL1,ONEIL,breast,10.537858473721904
MK-1775,Niraparib,KPL1,ONEIL,breast,0.8515932028741793
MK-1775,MK-5108,KPL1,ONEIL,breast,3.0533065754585413
Deforolimus,MK-1775,KPL1,ONEIL,breast,11.860129329997502
891494-63-6,MK-1775,KPL1,ONEIL,breast,9.169958746379777
Eloxatin (TN),MK-1775,KPL1,ONEIL,breast,-3.952360233654741
391210-10-9,MK-1775,KPL1,ONEIL,breast,1.4045665378045733
7-Ethyl-10-hydroxycamptothecin,MK-1775,KPL1,ONEIL,breast,3.1687536053068897
MK-1775,Sorafenib,KPL1,ONEIL,breast,2.7360700277151278
MK-1775,topotecan,KPL1,ONEIL,breast,4.04854921736843
915019-65-7,Dinaciclib,KPL1,ONEIL,breast,1.4351755891122948
891494-63-6,915019-65-7,KPL1,ONEIL,breast,-8.50303303760219
915019-65-7,Eloxatin (TN),KPL1,ONEIL,breast,3.313282765738225
7-Ethyl-10-hydroxycamptothecin,915019-65-7,KPL1,ONEIL,breast,7.09810563127979
915019-65-7,Sorafenib,KPL1,ONEIL,breast,2.686786280387251
Bortezomib,Veliparib,KPL1,ONEIL,breast,0.3494870370998774
915019-65-7,Bortezomib,KPL1,ONEIL,breast,2.1354226862604406
Bortezomib,Dasatinib,KPL1,ONEIL,breast,0.017317086864140074
Bortezomib,Dinaciclib,KPL1,ONEIL,breast,-1.09920595137541
Bortezomib,geldanamycin,KPL1,ONEIL,breast,-5.77108502568763
Bortezomib,Deforolimus,KPL1,ONEIL,breast,6.1345227688468675
891494-63-6,Bortezomib,KPL1,ONEIL,breast,-3.4042311150370095
Bortezomib,Eloxatin (TN),KPL1,ONEIL,breast,-3.2243777058439904
7-Ethyl-10-hydroxycamptothecin,Bortezomib,KPL1,ONEIL,breast,-1.8088108897076776
Bortezomib,Sorafenib,KPL1,ONEIL,breast,-0.49764520961326997
Bortezomib,topotecan,KPL1,ONEIL,breast,-3.023262625418688
Carboplatinum,Veliparib,KPL1,ONEIL,breast,5.238424073980889
